Title,IF,Q,Publisher,Category,5IF,TITLE Short,Type,Issn_1,Issn_2,None,Country,Region,Coverage,Categories,Areas
Nature Reviews Drug Discovery,122.7,Q1,Nature Publishing Group,PHARMACOLOGY & PHARMACY,114.9,NAT REV DRUG DISCOV,journal,14741784,14741776,1/354,United Kingdom,Western Europe,2002-2023,Drug Discovery (Q1); Medicine (miscellaneous) (Q1); Pharmacology (Q1),"Medicine; Pharmacology, Toxicology and Pharmaceutics"
Nature Reviews Molecular Cell Biology,81.3,Q1,Nature Publishing Group,CELL BIOLOGY,115.5,NAT REV MOL CELL BIO,journal,14710072,14710080,1/205,United Kingdom,Western Europe,2000-2023,Cell Biology (Q1); Molecular Biology (Q1),"Biochemistry, Genetics and Molecular Biology"
Nature Reviews Cancer,72.5,Q1,Nature Publishing Group,ONCOLOGY,77.2,NAT REV CANCER,journal,1474175X,14741768,3/322,United Kingdom,Western Europe,2001-2023,Cancer Research (Q1); Oncology (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine"
Nature Reviews Microbiology,69.2,Q1,Nature Publishing Group,MICROBIOLOGY,81.3,NAT REV MICROBIOL,journal,17401534,17401526,1/161,United Kingdom,Western Europe,2003-2023,Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (Q1),Immunology and Microbiology; Medicine
Nature Reviews Immunology,67.7,Q1,Nature Publishing Group,IMMUNOLOGY,78.1,NAT REV IMMUNOL,journal,14741741,14741733,1/181,United Kingdom,Western Europe,2001-2023,Immunology (Q1); Immunology and Allergy (Q1); Medicine (miscellaneous) (Q1),Immunology and Microbiology; Medicine
Nature Medicine,58.7,Q1,Nature Research,"MEDICINE, RESEARCH & EXPERIMENTAL",59.2,NAT MED,journal,1546170X,10788956,1/189,United Kingdom,Western Europe,1995-2023,"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)","Biochemistry, Genetics and Molecular Biology; Medicine"
Cancer Cell,48.8,Q1,Cell Press,ONCOLOGY,42.1,CANCER CELL,journal,15356108,18783686,5/322,United States,Northern America,2002-2023,Cancer Research (Q1); Cell Biology (Q1); Oncology (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine"
Cell,45.5,Q1,Elsevier ,CELL BIOLOGY,49,CELL,journal,928674,10974172,4/205,United States,Northern America,1974-2023,"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)","Biochemistry, Genetics and Molecular Biology"
"Lancet Diabetes and Endocrinology,The",44,Q1,Elsevier ,ENDOCRINOLOGY & METABOLISM,38.2,LANCET DIABETES ENDO,journal,22138595,22138587,1/186,United Kingdom,Western Europe,2013-2023,"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1); Internal Medicine (Q1)","Biochemistry, Genetics and Molecular Biology; Medicine"
Nature Catalysis,42.8,Q1,Nature Publishing Group,"CHEMISTRY, PHYSICAL",47,NAT CATAL,journal,25201158,,1/178,United States,Northern America,2018-2023,Biochemistry (Q1); Bioengineering (Q1); Catalysis (Q1); Process Chemistry and Technology (Q1),"Biochemistry, Genetics and Molecular Biology; Chemical Engineering"
Journal of Clinical Oncology,42.1,Q1,Lippincott Williams and Wilkins Ltd.,ONCOLOGY,37.4,J CLIN ONCOL,journal,15277755,0732183X,6/322,United States,Northern America,1983-2023,Cancer Research (Q1); Medicine (miscellaneous) (Q1); Oncology (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine"
Signal Transduction and Targeted Therapy,40.8,Q1,Springer Nature,CELL BIOLOGY,40.5,SIGNAL TRANSDUCT TAR,journal,20593635,20959907,5/205,United Kingdom,Western Europe,2016-2023,Cancer Research (Q1); Genetics (Q1),"Biochemistry, Genetics and Molecular Biology"
Nature Reviews Genetics,39.1,Q1,Nature Publishing Group,GENETICS & HEREDITY,52.3,NAT REV GENET,journal,14710056,14710064,1/191,United Kingdom,Western Europe,2000-2023,Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine"
Nature Methods,36.1,Q1,Nature Publishing Group,BIOCHEMICAL RESEARCH METHODS,45.6,NAT METHODS,journal,15487091,15487105,Jan-85,United Kingdom,Western Europe,2004-2023,Biochemistry (Q1); Biotechnology (Q1); Cell Biology (Q1); Molecular Biology (Q1),"Biochemistry, Genetics and Molecular Biology"
Nature Biotechnology,33.1,Q1,Nature Publishing Group,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,56.9,NAT BIOTECHNOL,journal,15461696,10870156,2/174,United Kingdom,Western Europe,1989-2023,Applied Microbiology and Biotechnology (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Molecular Medicine (Q1),"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Immunology and Microbiology"
Nature Genetics,31.7,Q1,Nature Publishing Group,GENETICS & HEREDITY,36.6,NAT GENET,journal,10614036,15461718,2/191,United Kingdom,Western Europe,1992-2023,Genetics (Q1),"Biochemistry, Genetics and Molecular Biology"
Nature Reviews Endocrinology,31,Q1,Nature Publishing Group,ENDOCRINOLOGY & METABOLISM,46.8,NAT REV ENDOCRINOL,journal,17595037,17595029,2/186,United Kingdom,Western Europe,2009-2023,"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1)","Biochemistry, Genetics and Molecular Biology; Medicine"
Physiological Reviews,29.9,Q1,American Physiological Society,PHYSIOLOGY,45,PHYSIOL REV,journal,15221210,319333,Jan-85,United States,Northern America,1945-2023,Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Physiology (Q1); Physiology (medical) (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine"
Journal of Hematology and Oncology,29.5,Q1,BioMed Central Ltd,ONCOLOGY,26.9,J HEMATOL ONCOL,journal,17568722,,9/322,United Kingdom,Western Europe,2008-2023,Cancer Research (Q1); Hematology (Q1); Molecular Biology (Q1); Oncology (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine"
Cell Research,28.1,Q1,Nature Publishing Group,CELL BIOLOGY,36.4,CELL RES,journal,17487838,10010602,6/205,United Kingdom,Western Europe,1996-2023,Cell Biology (Q1); Molecular Biology (Q1),"Biochemistry, Genetics and Molecular Biology"
Cell Metabolism,27.7,Q1,Cell Press,ENDOCRINOLOGY & METABOLISM,31.2,CELL METAB,journal,15504131,19327420,3/186,United States,Northern America,2005-2023,Cell Biology (Q1); Molecular Biology (Q1); Physiology (Q1),"Biochemistry, Genetics and Molecular Biology"
Molecular Cancer,27.7,Q1,BioMed Central Ltd,ONCOLOGY,31.3,MOL CANCER,journal,14764598,,10/322,United Kingdom,Western Europe,2002-2023,Cancer Research (Q1); Molecular Medicine (Q1); Oncology (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine"
Nature Immunology,27.7,Q1,Nature Publishing Group,IMMUNOLOGY,28.3,NAT IMMUNOL,journal,15292908,15292916,2/181,United Kingdom,Western Europe,2000-2023,Immunology (Q1); Immunology and Allergy (Q1),Immunology and Microbiology; Medicine
Annual Review of Immunology,26.9,Q1,Annual Reviews Inc.,IMMUNOLOGY,32,ANNU REV IMMUNOL,journal,15453278,7320582,3/181,United States,Northern America,1983-2023,Immunology (Q1); Immunology and Allergy (Q1),Immunology and Microbiology; Medicine
Nature Biomedical Engineering,26.8,Q1,Nature Publishing Group,"ENGINEERING, BIOMEDICAL",29.2,NAT BIOMED ENG,journal,2157846X,,1/122,United States,Northern America,2017-2023,Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Computer Science Applications (Q1); Medicine (miscellaneous) (Q1),"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Computer Science; Engineering; Medicine"
Immunity,25.5,Q1,Cell Press,IMMUNOLOGY,33.2,IMMUNITY,journal,10974180,10747613,4/181,United States,Northern America,1994-2023,Immunology (Q1); Immunology and Allergy (Q1); Infectious Diseases (Q1),Immunology and Microbiology; Medicine
Nature Cancer,23.5,Q1,Nature Research,ONCOLOGY,24.6,NAT CANCER,journal,26621347,,11/322,United States,Northern America,2020-2023,Cancer Research (Q1); Oncology (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine"
JAMA Oncology,22.5,Q1,American Medical Association,ONCOLOGY,25.9,JAMA ONCOL,journal,23742445,23742437,12/322,United States,Northern America,2015-2023,Cancer Research (Q1); Oncology (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine"
Endocrine Reviews,22,Q1,The Endocrine Society,ENDOCRINOLOGY & METABOLISM,26.5,ENDOCR REV,journal,19457189,0163769X,4/186,United States,Northern America,1980-2023,"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1)","Biochemistry, Genetics and Molecular Biology; Medicine"
Cellular and Molecular Immunology,21.8,Q1,Nature Publishing Group,IMMUNOLOGY,19.9,CELL MOL IMMUNOL,journal,20420226,16727681,5/181,United Kingdom,Western Europe,2004-2023,Immunology (Q1); Immunology and Allergy (Q1); Infectious Diseases (Q1); Medicine (miscellaneous) (Q1),Immunology and Microbiology; Medicine
